explanandum,video,response,S,NV,V,NC,C,O,P,within.video.events,category,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,screenW,screenH,OS,Browser,time_in_minutes,workerid
the man pulled the carrot out of the ground,carrot-crazy,he wanted to show it to the rabbit,he,NA,want,NA,show,rabbit,NA,yes,mental.state,English,1,Male,31,Not at all!,Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!,Yes,Seventy cents is perfect,2,1920,1080,Windows,Chrome,3.4896666667,2
the man pulled the carrot out of the ground,carrot-crazy,he was trying to lure the rabbit to him.,he,NA,try,NA,lure,rabbit,him,no,mental.state,English,0,Male,29,No,,Yes,Yes.,1,1920,1080,Windows,Chrome,6.2267833333,3
the man pulled the carrot out of the ground,carrot-crazy,the rabbit couldnt get it,rabbit,not,get,NA,NA,it,NA,no,lawlike,english,0,Male,27,everything was fine,thank you! lovely videos,Yes,0.7,3,1920,1080,Windows,Chrome,4.05155,4
the man pulled the carrot out of the ground,carrot-crazy,he wanted to eat it,he,NA,want,NA,eat,it,NA,no,mental.state,English,0,Male,30,,,Yes,1,4,1280,800,Windows,Chrome,5.9445333333,5
the man pulled the carrot out of the ground,carrot-crazy,he wanted to entice the bunny out of its hole,he,NA,want,NA,entice,bunny,hole,no,mental.state,English,0,Male,29,no,Good quality animations,Yes,$1,3,1920,1080,Windows,Chrome,4.1451833333,6
the man pulled the carrot out of the ground,carrot-crazy,he wanted to give it to the rabbit,he,NA,want,NA,give,rabbit,NA,no,mental.state,English,0,Female,22,No,,Yes,Yes,1,1920,1080,Windows,Chrome,3.0108333333,7
the man pulled the carrot out of the ground,carrot-crazy,he wanted to feed the bunny,he,NA,want,NA,feed,bunny,NA,no,mental.state,english,1,Male,24,none,great hit,Yes,yes,1,1920,1080,Windows,Chrome,2.8188833333,8
the man looked at his time piece,destiny,he was waiting for a bus,he,NA,wait,NA,NA,NA,bus,no,not.sure,English,0,Male,43,No,,No,1,1,1510,849,Windows,Chrome,3.2371833333,1
the man looked at his time piece,destiny,he's worried about getting to work on time,he,NA,worried,NA,get,NA,work,no,mental.state,English,1,Male,31,Not at all!,Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!,Yes,Seventy cents is perfect,2,1920,1080,Windows,Chrome,3.4896666667,2
the man looked at his time piece,destiny,to see what time it is.,NA,NA,see,NA,NA,time,NA,no,mental.state,English,0,Male,29,No,,Yes,Yes.,1,1920,1080,Windows,Chrome,6.2267833333,3
the man looked at his time piece,destiny,he was running late for work,he,NA,run,NA,NA,late,work,no,not.sure,english,0,Male,27,everything was fine,thank you! lovely videos,Yes,0.7,3,1920,1080,Windows,Chrome,4.05155,4
the man looked at his time piece,destiny,he had to be somewhere at a time,he,NA,have,NA,be,somewhere,time,no,not.sure,English,0,Male,30,,,Yes,1,4,1280,800,Windows,Chrome,5.9445333333,5
the man looked at his time piece,destiny,he wanted to see if he was running late,he,NA,want,NA,see,run,NA,no,mental.state,English,0,Male,29,no,Good quality animations,Yes,$1,3,1920,1080,Windows,Chrome,4.1451833333,6
the man looked at his time piece,destiny,he wanted to know what time it was.,he,NA,want,NA,know,time,NA,no,mental.state,English,0,Female,22,No,,Yes,Yes,1,1920,1080,Windows,Chrome,3.0108333333,7
the man looked at his time piece,destiny,he is late to work,he,NA,late,NA,NA,NA,work,no,not.sure,english,1,Male,24,none,great hit,Yes,yes,1,1920,1080,Windows,Chrome,2.8188833333,8
the parents hugged the girl,the-gift,they're all a happy family,they,NA,family,NA,NA,NA,NA,no,mental.state,English,0,Male,43,No,,No,1,1,1510,849,Windows,Chrome,3.2371833333,1
the parents hugged the girl,the-gift,they're proud of her,they,NA,proud,NA,NA,NA,her,no,mental.state,English,1,Male,31,Not at all!,Watching all of the videos and giving legitimate answers only took me around three minutes. I'd say five minutes for an estimated time is a bit more accurate. Thanks!,Yes,Seventy cents is perfect,2,1920,1080,Windows,Chrome,3.4896666667,2
the parents hugged the girl,the-gift,they were very happy with what she gave them.,they,NA,happy,NA,NA,NA,what,no,mental.state,English,0,Male,29,No,,Yes,Yes.,1,1920,1080,Windows,Chrome,6.2267833333,3
the parents hugged the girl,the-gift,they were very thankful for the thoughtful gift and it resembled the object,they,NA,thankful,NA,NA,NA,gift,no,mental.state,english,0,Male,27,everything was fine,thank you! lovely videos,Yes,0.7,3,1920,1080,Windows,Chrome,4.05155,4
the parents hugged the girl,the-gift,they love her,they,NA,love,NA,NA,her,NA,no,mental.state,English,0,Male,30,,,Yes,1,4,1280,800,Windows,Chrome,5.9445333333,5
the parents hugged the girl,the-gift,they were proud of her art sculpture thing,they,NA,proud,NA,NA,NA,thing,no,mental.state,English,0,Male,29,no,Good quality animations,Yes,$1,3,1920,1080,Windows,Chrome,4.1451833333,6
the parents hugged the girl,the-gift,she gave them a cake,she,NA,give,NA,NA,cake,them,yes,observable,English,0,Female,22,No,,Yes,Yes,1,1920,1080,Windows,Chrome,3.0108333333,7
the parents hugged the girl,the-gift,she was happy,she,NA,happy,NA,NA,NA,NA,no,mental.state,english,1,Male,24,none,great hit,Yes,yes,1,1920,1080,Windows,Chrome,2.8188833333,8
the parents hugged the girl,the-gift,she gave them a nice gift.,she,NA,give,NA,NA,gift,them,yes,observable,,1,Male,20,No,,Yes,yes,-1,1366,768,Windows,Chrome,5.9059166667,0
the girl held her hair above her head,bumpy-ride,she wanted to be tall enough,she,NA,want,NA,be,tall,NA,no,mental.state,,1,Male,20,No,,Yes,yes,-1,1366,768,Windows,Chrome,5.9059166667,0
the girl took off her glove,alma,she wanted to grab the doll,she,NA,want,NA,grab,doll,NA,yes,mental.state,,1,Male,20,No,,Yes,yes,-1,1366,768,Windows,Chrome,5.9059166667,0
the man pulled the carrot out of the ground,carrot-crazy,he wanted to catch the rabbit,he,NA,want,NA,catch,rabbit,NA,no,mental.state,,1,Male,20,No,,Yes,yes,-1,1366,768,Windows,Chrome,5.9059166667,0
the man looked at his time piece,destiny,he was late for work,he,NA,late,NA,NA,NA,work,no,not.sure,,1,Male,20,No,,Yes,yes,-1,1366,768,Windows,Chrome,5.9059166667,0
