"workerid","story","explanansVariable","explanansValue","explanandumVariable","explanandumValue","response","utterance"
"19","story4","D",FALSE,"C",FALSE,1,"! C because ! D"
"19","story4","D",FALSE,"B",FALSE,0,"! B because ! D"
"19","story4","A",FALSE,"C",FALSE,1,"! C because ! A"
"19","story4","C",FALSE,"A",FALSE,0,"! A because ! C"
"19","story4","B",FALSE,"C",FALSE,0.83,"! C because ! B"
"19","story4","A",FALSE,"B",FALSE,0,"! B because ! A"
"19","story4","B",FALSE,"A",FALSE,0,"! A because ! B"
"19","story4","D",FALSE,"A",FALSE,0,"! A because ! D"
"19","story4","B",FALSE,"D",FALSE,0.85,"! D because ! B"
"19","story4","D",FALSE,"D",FALSE,1,"! D because ! D"
"19","story4","C",FALSE,"B",FALSE,0,"! B because ! C"
"19","story4","A",FALSE,"D",FALSE,0.89,"! D because ! A"
"19","story4","C",FALSE,"C",FALSE,1,"! C because ! C"
"19","story4","A",FALSE,"A",FALSE,1,"! A because ! A"
"19","story4","C",FALSE,"D",FALSE,0.98,"! D because ! C"
"19","story4","B",FALSE,"B",FALSE,1,"! B because ! B"
"19","story6","A",FALSE,"A",FALSE,1,"! A because ! A"
"19","story6","A",FALSE,"C",TRUE,0.88,"C because ! A"
"19","story6","B",FALSE,"B",FALSE,1,"! B because ! B"
"19","story6","C",TRUE,"C",TRUE,1,"C because C"
"19","story6","C",TRUE,"B",FALSE,1,"! B because C"
"19","story6","B",FALSE,"C",TRUE,1,"C because ! B"
"19","story6","A",FALSE,"B",FALSE,0.95,"! B because ! A"
"19","story6","C",TRUE,"A",FALSE,0,"! A because C"
"19","story6","B",FALSE,"A",FALSE,0,"! A because ! B"
"21","story6","C",TRUE,"A",FALSE,0.03,"! A because C"
"21","story6","A",FALSE,"C",TRUE,0.12,"C because ! A"
"21","story6","A",FALSE,"A",FALSE,0.91,"! A because ! A"
"21","story6","B",FALSE,"C",TRUE,0.73,"C because ! B"
"21","story6","B",FALSE,"B",FALSE,0.15,"! B because ! B"
"21","story6","B",FALSE,"A",FALSE,0.03,"! A because ! B"
"21","story6","A",FALSE,"B",FALSE,0.79,"! B because ! A"
"21","story6","C",TRUE,"B",FALSE,0.09,"! B because C"
"21","story6","C",TRUE,"C",TRUE,0.15,"C because C"
"21","story3","A",TRUE,"B",TRUE,0.23,"B because A"
"21","story3","B",TRUE,"C",FALSE,0.6,"! C because B"
"21","story3","C",FALSE,"A",TRUE,0.08,"A because ! C"
"21","story3","B",TRUE,"B",TRUE,0.87,"B because B"
"21","story3","B",TRUE,"A",TRUE,0.16,"A because B"
"21","story3","A",TRUE,"A",TRUE,0.84,"A because A"
"21","story3","C",FALSE,"B",TRUE,0.68,"B because ! C"
"21","story3","C",FALSE,"C",FALSE,0.29,"! C because ! C"
"21","story3","A",TRUE,"C",FALSE,0.82,"! C because A"
"21","story1","B",TRUE,"B",TRUE,0.81,"B because B"
"21","story1","A",TRUE,"A",TRUE,0.82,"A because A"
"21","story1","B",TRUE,"A",TRUE,0.12,"A because B"
"21","story1","A",TRUE,"B",TRUE,0.04,"B because A"
"21","story4","A",FALSE,"C",FALSE,0.58,"! C because ! A"
"21","story4","B",FALSE,"A",FALSE,0.13,"! A because ! B"
"21","story4","D",FALSE,"C",FALSE,0.28,"! C because ! D"
"21","story4","C",FALSE,"A",FALSE,0.13,"! A because ! C"
"21","story4","B",FALSE,"B",FALSE,0.85,"! B because ! B"
"21","story4","A",FALSE,"D",FALSE,0.57,"! D because ! A"
"21","story4","D",FALSE,"D",FALSE,0.13,"! D because ! D"
"21","story4","C",FALSE,"B",FALSE,0.12,"! B because ! C"
"21","story4","D",FALSE,"B",FALSE,0.17,"! B because ! D"
"21","story4","C",FALSE,"C",FALSE,0.15,"! C because ! C"
"21","story4","B",FALSE,"C",FALSE,0.65,"! C because ! B"
"21","story4","A",FALSE,"B",FALSE,0.14,"! B because ! A"
"21","story4","B",FALSE,"D",FALSE,0.68,"! D because ! B"
"21","story4","C",FALSE,"D",FALSE,0.96,"! D because ! C"
"21","story4","A",FALSE,"A",FALSE,0.95,"! A because ! A"
"21","story4","D",FALSE,"A",FALSE,0.08,"! A because ! D"
"21","story2","B",TRUE,"C",TRUE,0.95,"C because B"
"21","story2","C",TRUE,"A",TRUE,0.09,"A because C"
"21","story2","C",TRUE,"C",TRUE,0.26,"C because C"
"21","story2","B",TRUE,"A",TRUE,0.17,"A because B"
"21","story2","A",TRUE,"A",TRUE,0.86,"A because A"
"21","story2","C",TRUE,"B",TRUE,0.13,"B because C"
"21","story2","A",TRUE,"C",TRUE,0.78,"C because A"
"21","story2","B",TRUE,"B",TRUE,0.24,"B because B"
"21","story2","A",TRUE,"B",TRUE,0.97,"B because A"
"21","story5","A",TRUE,"A",TRUE,0.93,"A because A"
"21","story5","D",TRUE,"A",TRUE,0.05,"A because D"
"21","story5","A",TRUE,"B",TRUE,0.15,"B because A"
"21","story5","D",TRUE,"D",TRUE,0.12,"D because D"
"21","story5","B",TRUE,"A",TRUE,0.12,"A because B"
"21","story5","C",TRUE,"B",TRUE,0.06,"B because C"
"21","story5","C",TRUE,"A",TRUE,0.08,"A because C"
"21","story5","C",TRUE,"C",TRUE,0.12,"C because C"
"21","story5","A",TRUE,"C",TRUE,0.83,"C because A"
"21","story5","D",TRUE,"C",TRUE,0.13,"C because D"
"21","story5","C",TRUE,"D",TRUE,0.95,"D because C"
"21","story5","B",TRUE,"B",TRUE,0.82,"B because B"
"21","story5","B",TRUE,"D",TRUE,0.66,"D because B"
"21","story5","A",TRUE,"D",TRUE,0.79,"D because A"
"21","story5","B",TRUE,"C",TRUE,0.64,"C because B"
"21","story5","D",TRUE,"B",TRUE,0.06,"B because D"
"28","story4","B",FALSE,"A",FALSE,0.49,"! A because ! B"
"28","story4","A",FALSE,"D",FALSE,0.33,"! D because ! A"
"28","story4","B",FALSE,"C",FALSE,0.23,"! C because ! B"
"28","story4","D",FALSE,"B",FALSE,0.05,"! B because ! D"
"28","story4","A",FALSE,"C",FALSE,0,"! C because ! A"
"28","story4","B",FALSE,"B",FALSE,1,"! B because ! B"
"28","story4","C",FALSE,"C",FALSE,1,"! C because ! C"
"28","story4","C",FALSE,"A",FALSE,0.28,"! A because ! C"
"28","story4","D",FALSE,"A",FALSE,0.09,"! A because ! D"
"28","story4","C",FALSE,"D",FALSE,0.61,"! D because ! C"
"28","story4","D",FALSE,"C",FALSE,0.91,"! C because ! D"
"28","story4","B",FALSE,"D",FALSE,0.28,"! D because ! B"
"28","story4","A",FALSE,"A",FALSE,0.9,"! A because ! A"
"28","story4","A",FALSE,"B",FALSE,0.49,"! B because ! A"
"28","story4","D",FALSE,"D",FALSE,1,"! D because ! D"
"28","story4","C",FALSE,"B",FALSE,0.23,"! B because ! C"
"28","story5","B",TRUE,"C",TRUE,0.46,"C because B"
"28","story5","B",TRUE,"D",TRUE,0.19,"D because B"
"28","story5","B",TRUE,"A",TRUE,0.35,"A because B"
"28","story5","A",TRUE,"C",TRUE,0.31,"C because A"
"28","story5","C",TRUE,"C",TRUE,0.99,"C because C"
"28","story5","A",TRUE,"B",TRUE,0.37,"B because A"
"28","story5","A",TRUE,"A",TRUE,1,"A because A"
"28","story5","C",TRUE,"B",TRUE,0.69,"B because C"
"28","story5","C",TRUE,"A",TRUE,0.37,"A because C"
"28","story5","D",TRUE,"B",TRUE,0,"B because D"
"28","story5","B",TRUE,"B",TRUE,1,"B because B"
"28","story5","D",TRUE,"C",TRUE,0.75,"C because D"
"28","story5","C",TRUE,"D",TRUE,0.82,"D because C"
"28","story5","D",TRUE,"A",TRUE,0.13,"A because D"
"28","story5","A",TRUE,"D",TRUE,0.21,"D because A"
"28","story5","D",TRUE,"D",TRUE,1,"D because D"
"28","story1","B",TRUE,"B",TRUE,0.99,"B because B"
"28","story1","A",TRUE,"A",TRUE,1,"A because A"
"28","story1","A",TRUE,"B",TRUE,0.59,"B because A"
"28","story1","B",TRUE,"A",TRUE,0.98,"A because B"
"28","story3","A",TRUE,"A",TRUE,1,"A because A"
"28","story3","C",FALSE,"A",TRUE,0.32,"A because ! C"
"28","story3","C",FALSE,"B",TRUE,0.46,"B because ! C"
"28","story3","A",TRUE,"B",TRUE,0.95,"B because A"
"28","story3","B",TRUE,"C",FALSE,0.71,"! C because B"
"28","story3","C",FALSE,"C",FALSE,1,"! C because ! C"
"28","story3","B",TRUE,"A",TRUE,1,"A because B"
"28","story3","A",TRUE,"C",FALSE,0.14,"! C because A"
"28","story3","B",TRUE,"B",TRUE,1,"B because B"
"28","story6","B",FALSE,"A",FALSE,0.9,"! A because ! B"
"28","story6","A",FALSE,"B",FALSE,0.89,"! B because ! A"
"28","story6","B",FALSE,"B",FALSE,1,"! B because ! B"
"28","story6","C",TRUE,"A",FALSE,0.15,"! A because C"
"28","story6","C",TRUE,"B",FALSE,0.24,"! B because C"
"28","story6","A",FALSE,"C",TRUE,0,"C because ! A"
"28","story6","B",FALSE,"C",TRUE,0.95,"C because ! B"
"28","story6","C",TRUE,"C",TRUE,1,"C because C"
"28","story6","A",FALSE,"A",FALSE,1,"! A because ! A"
"28","story2","B",TRUE,"C",TRUE,0.38,"C because B"
"28","story2","C",TRUE,"A",TRUE,0,"A because C"
"28","story2","A",TRUE,"A",TRUE,1,"A because A"
"28","story2","A",TRUE,"C",TRUE,0.27,"C because A"
"28","story2","B",TRUE,"B",TRUE,1,"B because B"
"28","story2","B",TRUE,"A",TRUE,0.57,"A because B"
"28","story2","C",TRUE,"C",TRUE,1,"C because C"
"28","story2","A",TRUE,"B",TRUE,0.4,"B because A"
"28","story2","C",TRUE,"B",TRUE,1,"B because C"
"36","story2","C",TRUE,"B",TRUE,0,"B because C"
"36","story2","A",TRUE,"A",TRUE,1,"A because A"
"36","story2","A",TRUE,"C",TRUE,1,"C because A"
"36","story2","B",TRUE,"B",TRUE,1,"B because B"
"36","story2","A",TRUE,"B",TRUE,1,"B because A"
"36","story2","B",TRUE,"A",TRUE,0.78,"A because B"
"36","story2","C",TRUE,"C",TRUE,1,"C because C"
"36","story2","C",TRUE,"A",TRUE,0.74,"A because C"
"36","story2","B",TRUE,"C",TRUE,1,"C because B"
"36","story6","A",FALSE,"A",FALSE,1,"! A because ! A"
"36","story6","A",FALSE,"B",FALSE,1,"! B because ! A"
"36","story6","C",TRUE,"C",TRUE,1,"C because C"
"36","story6","B",FALSE,"B",FALSE,1,"! B because ! B"
"36","story6","C",TRUE,"B",FALSE,0.62,"! B because C"
"36","story6","B",FALSE,"C",TRUE,1,"C because ! B"
"36","story6","C",TRUE,"A",FALSE,0,"! A because C"
"36","story6","B",FALSE,"A",FALSE,0,"! A because ! B"
"36","story6","A",FALSE,"C",TRUE,0.72,"C because ! A"
"36","story3","A",TRUE,"B",TRUE,1,"B because A"
"36","story3","B",TRUE,"B",TRUE,1,"B because B"
"36","story3","C",FALSE,"A",TRUE,0.66,"A because ! C"
"36","story3","C",FALSE,"C",FALSE,1,"! C because ! C"
"36","story3","C",FALSE,"B",TRUE,0.73,"B because ! C"
"36","story3","A",TRUE,"A",TRUE,1,"A because A"
"36","story3","B",TRUE,"C",FALSE,1,"! C because B"
"36","story3","B",TRUE,"A",TRUE,1,"A because B"
"36","story3","A",TRUE,"C",FALSE,1,"! C because A"
"36","story5","D",TRUE,"C",TRUE,1,"C because D"
"36","story5","A",TRUE,"C",TRUE,1,"C because A"
"36","story5","B",TRUE,"B",TRUE,1,"B because B"
"36","story5","D",TRUE,"D",TRUE,1,"D because D"
"36","story5","B",TRUE,"D",TRUE,0.82,"D because B"
"36","story5","A",TRUE,"A",TRUE,1,"A because A"
"36","story5","C",TRUE,"D",TRUE,1,"D because C"
"36","story5","A",TRUE,"D",TRUE,1,"D because A"
"36","story5","C",TRUE,"A",TRUE,1,"A because C"
"36","story5","A",TRUE,"B",TRUE,0,"B because A"
"36","story5","B",TRUE,"A",TRUE,0,"A because B"
"36","story5","C",TRUE,"C",TRUE,1,"C because C"
"36","story5","B",TRUE,"C",TRUE,0.94,"C because B"
"36","story5","D",TRUE,"B",TRUE,0.9,"B because D"
"36","story5","C",TRUE,"B",TRUE,0.89,"B because C"
"36","story5","D",TRUE,"A",TRUE,1,"A because D"
"36","story1","B",TRUE,"A",TRUE,0,"A because B"
"36","story1","A",TRUE,"A",TRUE,1,"A because A"
"36","story1","B",TRUE,"B",TRUE,1,"B because B"
"36","story1","A",TRUE,"B",TRUE,0,"B because A"
"36","story4","C",FALSE,"C",FALSE,0,"! C because ! C"
"36","story4","A",FALSE,"C",FALSE,0.64,"! C because ! A"
"36","story4","B",FALSE,"D",FALSE,0.69,"! D because ! B"
"36","story4","D",FALSE,"A",FALSE,1,"! A because ! D"
"36","story4","B",FALSE,"A",FALSE,0,"! A because ! B"
"36","story4","D",FALSE,"B",FALSE,1,"! B because ! D"
"36","story4","C",FALSE,"B",FALSE,1,"! B because ! C"
"36","story4","B",FALSE,"C",FALSE,1,"! C because ! B"
"36","story4","A",FALSE,"B",FALSE,0,"! B because ! A"
"36","story4","A",FALSE,"A",FALSE,1,"! A because ! A"
"36","story4","B",FALSE,"B",FALSE,1,"! B because ! B"
"36","story4","D",FALSE,"D",FALSE,1,"! D because ! D"
"36","story4","D",FALSE,"C",FALSE,1,"! C because ! D"
"36","story4","C",FALSE,"D",FALSE,1,"! D because ! C"
"36","story4","C",FALSE,"A",FALSE,0.67,"! A because ! C"
"36","story4","A",FALSE,"D",FALSE,0.71,"! D because ! A"
"44","story5","B",TRUE,"A",TRUE,0,"A because B"
"44","story5","D",TRUE,"D",TRUE,0.99,"D because D"
"44","story5","B",TRUE,"B",TRUE,0.99,"B because B"
"44","story5","D",TRUE,"B",TRUE,0.01,"B because D"
"44","story5","C",TRUE,"D",TRUE,0.99,"D because C"
"44","story5","A",TRUE,"C",TRUE,1,"C because A"
"44","story5","D",TRUE,"C",TRUE,0.01,"C because D"
"44","story5","B",TRUE,"D",TRUE,0.82,"D because B"
"44","story5","C",TRUE,"A",TRUE,0,"A because C"
"44","story5","B",TRUE,"C",TRUE,0.85,"C because B"
"44","story5","C",TRUE,"C",TRUE,0.99,"C because C"
"44","story5","A",TRUE,"D",TRUE,0.91,"D because A"
"44","story5","A",TRUE,"B",TRUE,0,"B because A"
"44","story5","C",TRUE,"B",TRUE,0.01,"B because C"
"44","story5","A",TRUE,"A",TRUE,0.99,"A because A"
"44","story5","D",TRUE,"A",TRUE,0.01,"A because D"
"44","story4","D",FALSE,"B",FALSE,0.02,"! B because ! D"
"44","story4","C",FALSE,"C",FALSE,0.99,"! C because ! C"
"44","story4","B",FALSE,"C",FALSE,0.83,"! C because ! B"
"44","story4","B",FALSE,"D",FALSE,0.83,"! D because ! B"
"44","story4","A",FALSE,"D",FALSE,0.46,"! D because ! A"
"44","story4","D",FALSE,"C",FALSE,0,"! C because ! D"
"44","story4","A",FALSE,"C",FALSE,0.48,"! C because ! A"
"44","story4","A",FALSE,"A",FALSE,0.99,"! A because ! A"
"44","story4","D",FALSE,"D",FALSE,1,"! D because ! D"
"44","story4","C",FALSE,"A",FALSE,0.02,"! A because ! C"
"44","story4","C",FALSE,"D",FALSE,0.99,"! D because ! C"
"44","story4","D",FALSE,"A",FALSE,0,"! A because ! D"
"44","story4","B",FALSE,"A",FALSE,0.01,"! A because ! B"
"44","story4","C",FALSE,"B",FALSE,0,"! B because ! C"
"44","story4","A",FALSE,"B",FALSE,0,"! B because ! A"
"44","story4","B",FALSE,"B",FALSE,0.99,"! B because ! B"
"44","story2","A",TRUE,"C",TRUE,0.83,"C because A"
"44","story2","C",TRUE,"C",TRUE,0.99,"C because C"
"44","story2","B",TRUE,"B",TRUE,0.98,"B because B"
"44","story2","A",TRUE,"B",TRUE,0.98,"B because A"
"44","story2","B",TRUE,"A",TRUE,0.01,"A because B"
"44","story2","B",TRUE,"C",TRUE,1,"C because B"
"44","story2","C",TRUE,"A",TRUE,0.02,"A because C"
"44","story2","A",TRUE,"A",TRUE,0.99,"A because A"
"44","story2","C",TRUE,"B",TRUE,0,"B because C"
"44","story6","C",TRUE,"C",TRUE,0.99,"C because C"
"44","story6","A",FALSE,"C",TRUE,0.5,"C because ! A"
"44","story6","B",FALSE,"C",TRUE,0.56,"C because ! B"
"44","story6","A",FALSE,"B",FALSE,0.78,"! B because ! A"
"44","story6","A",FALSE,"A",FALSE,1,"! A because ! A"
"44","story6","B",FALSE,"B",FALSE,0.99,"! B because ! B"
"44","story6","B",FALSE,"A",FALSE,0.81,"! A because ! B"
"44","story6","C",TRUE,"A",FALSE,0.01,"! A because C"
"44","story6","C",TRUE,"B",FALSE,0.01,"! B because C"
"44","story3","C",FALSE,"C",FALSE,1,"! C because ! C"
"44","story3","A",TRUE,"A",TRUE,0.99,"A because A"
"44","story3","B",TRUE,"B",TRUE,0.99,"B because B"
"44","story3","B",TRUE,"C",FALSE,0.99,"! C because B"
"44","story3","C",FALSE,"B",TRUE,0.01,"B because ! C"
"44","story3","A",TRUE,"B",TRUE,0.02,"B because A"
"44","story3","A",TRUE,"C",FALSE,0.48,"! C because A"
"44","story3","B",TRUE,"A",TRUE,0.01,"A because B"
"44","story3","C",FALSE,"A",TRUE,0.01,"A because ! C"
"44","story1","B",TRUE,"A",TRUE,0.01,"A because B"
"44","story1","B",TRUE,"B",TRUE,0.99,"B because B"
"44","story1","A",TRUE,"A",TRUE,0.98,"A because A"
"44","story1","A",TRUE,"B",TRUE,0.02,"B because A"
"62","story1","A",TRUE,"B",TRUE,0.29,"B because A"
"62","story1","B",TRUE,"B",TRUE,0.99,"B because B"
"62","story1","B",TRUE,"A",TRUE,0.25,"A because B"
"62","story1","A",TRUE,"A",TRUE,0.99,"A because A"
"62","story3","B",TRUE,"C",FALSE,0.47,"! C because B"
"62","story3","C",FALSE,"A",TRUE,0.99,"A because ! C"
"62","story3","A",TRUE,"B",TRUE,0.98,"B because A"
"62","story3","C",FALSE,"C",FALSE,0,"! C because ! C"
"62","story3","A",TRUE,"A",TRUE,0.88,"A because A"
"62","story3","B",TRUE,"A",TRUE,0.12,"A because B"
"62","story3","B",TRUE,"B",TRUE,0.88,"B because B"
"62","story3","C",FALSE,"B",TRUE,0.1,"B because ! C"
"62","story3","A",TRUE,"C",FALSE,0.03,"! C because A"
"62","story6","C",TRUE,"A",FALSE,0.07,"! A because C"
"62","story6","B",FALSE,"C",TRUE,0.82,"C because ! B"
"62","story6","C",TRUE,"B",FALSE,0.1,"! B because C"
"62","story6","A",FALSE,"A",FALSE,0.95,"! A because ! A"
"62","story6","B",FALSE,"B",FALSE,0.13,"! B because ! B"
"62","story6","A",FALSE,"B",FALSE,0.99,"! B because ! A"
"62","story6","A",FALSE,"C",TRUE,0.16,"C because ! A"
"62","story6","C",TRUE,"C",TRUE,0.02,"C because C"
"62","story6","B",FALSE,"A",FALSE,0.09,"! A because ! B"
"62","story4","A",FALSE,"A",FALSE,0.99,"! A because ! A"
"62","story4","A",FALSE,"D",FALSE,0.03,"! D because ! A"
"62","story4","B",FALSE,"B",FALSE,0.95,"! B because ! B"
"62","story4","D",FALSE,"D",FALSE,0.08,"! D because ! D"
"62","story4","D",FALSE,"B",FALSE,0.05,"! B because ! D"
"62","story4","C",FALSE,"C",FALSE,0.03,"! C because ! C"
"62","story4","B",FALSE,"D",FALSE,0.06,"! D because ! B"
"62","story4","B",FALSE,"A",FALSE,0.05,"! A because ! B"
"62","story4","C",FALSE,"D",FALSE,0.9,"! D because ! C"
"62","story4","C",FALSE,"A",FALSE,0.14,"! A because ! C"
"62","story4","D",FALSE,"A",FALSE,0.02,"! A because ! D"
"62","story4","A",FALSE,"C",FALSE,0.98,"! C because ! A"
"62","story4","A",FALSE,"B",FALSE,0.07,"! B because ! A"
"62","story4","D",FALSE,"C",FALSE,0.05,"! C because ! D"
"62","story4","C",FALSE,"B",FALSE,0.09,"! B because ! C"
"62","story4","B",FALSE,"C",FALSE,0.95,"! C because ! B"
"62","story5","D",TRUE,"B",TRUE,0.19,"B because D"
"62","story5","A",TRUE,"A",TRUE,0.93,"A because A"
"62","story5","A",TRUE,"D",TRUE,0.96,"D because A"
"62","story5","A",TRUE,"B",TRUE,0.02,"B because A"
"62","story5","D",TRUE,"C",TRUE,0.09,"C because D"
"62","story5","C",TRUE,"B",TRUE,0.04,"B because C"
"62","story5","B",TRUE,"A",TRUE,0.01,"A because B"
"62","story5","D",TRUE,"A",TRUE,0.04,"A because D"
"62","story5","B",TRUE,"C",TRUE,0.66,"C because B"
"62","story5","C",TRUE,"C",TRUE,0.12,"C because C"
"62","story5","B",TRUE,"D",TRUE,0.18,"D because B"
"62","story5","B",TRUE,"B",TRUE,0.84,"B because B"
"62","story5","D",TRUE,"D",TRUE,0.11,"D because D"
"62","story5","A",TRUE,"C",TRUE,0.92,"C because A"
"62","story5","C",TRUE,"D",TRUE,0.97,"D because C"
"62","story5","C",TRUE,"A",TRUE,0.04,"A because C"
"62","story2","C",TRUE,"A",TRUE,0.12,"A because C"
"62","story2","A",TRUE,"C",TRUE,0.87,"C because A"
"62","story2","C",TRUE,"B",TRUE,0.15,"B because C"
"62","story2","B",TRUE,"A",TRUE,0.13,"A because B"
"62","story2","A",TRUE,"B",TRUE,0.98,"B because A"
"62","story2","B",TRUE,"B",TRUE,0.06,"B because B"
"62","story2","B",TRUE,"C",TRUE,0.99,"C because B"
"62","story2","C",TRUE,"C",TRUE,0.02,"C because C"
"62","story2","A",TRUE,"A",TRUE,0.94,"A because A"
"67","story2","B",TRUE,"B",TRUE,0.99,"B because B"
"67","story2","A",TRUE,"C",TRUE,0.02,"C because A"
"67","story2","C",TRUE,"B",TRUE,0.75,"B because C"
"67","story2","C",TRUE,"A",TRUE,0.04,"A because C"
"67","story2","C",TRUE,"C",TRUE,0.98,"C because C"
"67","story2","A",TRUE,"B",TRUE,0.01,"B because A"
"67","story2","B",TRUE,"A",TRUE,0,"A because B"
"67","story2","B",TRUE,"C",TRUE,0.99,"C because B"
"67","story2","A",TRUE,"A",TRUE,0.98,"A because A"
"67","story6","A",FALSE,"C",TRUE,0.02,"C because ! A"
"67","story6","C",TRUE,"B",FALSE,0.49,"! B because C"
"67","story6","C",TRUE,"C",TRUE,0.98,"C because C"
"67","story6","A",FALSE,"A",FALSE,1,"! A because ! A"
"67","story6","B",FALSE,"A",FALSE,0.99,"! A because ! B"
"67","story6","A",FALSE,"B",FALSE,0.98,"! B because ! A"
"67","story6","C",TRUE,"A",FALSE,0.48,"! A because C"
"67","story6","B",FALSE,"B",FALSE,0.98,"! B because ! B"
"67","story6","B",FALSE,"C",TRUE,0.77,"C because ! B"
"67","story3","C",FALSE,"A",TRUE,0,"A because ! C"
"67","story3","C",FALSE,"C",FALSE,0.98,"! C because ! C"
"67","story3","B",TRUE,"A",TRUE,0.49,"A because B"
"67","story3","C",FALSE,"B",TRUE,0.72,"B because ! C"
"67","story3","A",TRUE,"C",FALSE,0.98,"! C because A"
"67","story3","A",TRUE,"A",TRUE,0.98,"A because A"
"67","story3","B",TRUE,"B",TRUE,0.97,"B because B"
"67","story3","B",TRUE,"C",FALSE,0.49,"! C because B"
"67","story3","A",TRUE,"B",TRUE,0.48,"B because A"
"67","story4","A",FALSE,"B",FALSE,0,"! B because ! A"
"67","story4","B",FALSE,"B",FALSE,0.98,"! B because ! B"
"67","story4","C",FALSE,"D",FALSE,0.98,"! D because ! C"
"67","story4","A",FALSE,"C",FALSE,0.02,"! C because ! A"
"67","story4","C",FALSE,"B",FALSE,0.97,"! B because ! C"
"67","story4","D",FALSE,"A",FALSE,0.03,"! A because ! D"
"67","story4","A",FALSE,"D",FALSE,0.88,"! D because ! A"
"67","story4","C",FALSE,"A",FALSE,0.98,"! A because ! C"
"67","story4","D",FALSE,"B",FALSE,0.5,"! B because ! D"
"67","story4","B",FALSE,"D",FALSE,0.8,"! D because ! B"
"67","story4","C",FALSE,"C",FALSE,0.98,"! C because ! C"
"67","story4","D",FALSE,"D",FALSE,1,"! D because ! D"
"67","story4","D",FALSE,"C",FALSE,0.72,"! C because ! D"
"67","story4","B",FALSE,"A",FALSE,0.02,"! A because ! B"
"67","story4","A",FALSE,"A",FALSE,0.99,"! A because ! A"
"67","story4","B",FALSE,"C",FALSE,0.9,"! C because ! B"
"67","story5","D",TRUE,"A",TRUE,0.03,"A because D"
"67","story5","C",TRUE,"B",TRUE,0.02,"B because C"
"67","story5","C",TRUE,"C",TRUE,0.99,"C because C"
"67","story5","B",TRUE,"C",TRUE,0.19,"C because B"
"67","story5","B",TRUE,"D",TRUE,0.23,"D because B"
"67","story5","A",TRUE,"C",TRUE,0.98,"C because A"
"67","story5","A",TRUE,"A",TRUE,0.98,"A because A"
"67","story5","A",TRUE,"D",TRUE,0.1,"D because A"
"67","story5","C",TRUE,"D",TRUE,0.97,"D because C"
"67","story5","C",TRUE,"A",TRUE,0.97,"A because C"
"67","story5","B",TRUE,"B",TRUE,1,"B because B"
"67","story5","D",TRUE,"D",TRUE,1,"D because D"
"67","story5","D",TRUE,"B",TRUE,0.26,"B because D"
"67","story5","D",TRUE,"C",TRUE,0.66,"C because D"
"67","story5","B",TRUE,"A",TRUE,0.07,"A because B"
"67","story5","A",TRUE,"B",TRUE,0.07,"B because A"
"67","story1","B",TRUE,"B",TRUE,0.99,"B because B"
"67","story1","A",TRUE,"B",TRUE,0.01,"B because A"
"67","story1","B",TRUE,"A",TRUE,0,"A because B"
"67","story1","A",TRUE,"A",TRUE,0.99,"A because A"
